Aisle	Shelf- Short	Shelf Long	Label	Can	Resource
KNOWLEDGE	Gospel	The gospel is central to being a follower of Christ. Everything else in the Christian life flows from the gospel. We need it everyday. Does the student need to develop in their understanding of the gospel? 	Word	Study Rom 3:21-31	
			Word	Study Titus 3:3-7	
			Word	Study Eph 2:1-10	
			Do	They share the gospel with you best they can.	
			Do	You share the gospel with them best you can.	
			Do	Together learn one way to share gospel.	
			Do	They share that way with you.	
			Do	They share that way with someone else.	
			Pray	Lead them in prayer if they have never believed and recieved the good news	
			Pray	Confess together our need for the gospel (sin is the problem, Jesus is the solution, we respond in faith to Him)	
			Pray	Pray for a lost friend or family member	
			Challenge 	Find one way to demonstrate their need for gospel everyday this week.	
			Challenge	Share it with one person. For practice, for real, or both!	
			Memorize	John 3:16	
			Memorize	2 Cor 5:21	
			Resource	Bridge Diagram	http://www.campusministrytoolbox.org/journal/napkins-top-discipleship-diagrams/
			Resource	Knowing God Personally 	www.cru.org/training-and-growth/classics/would-you-like-to-know-god-personally/index.htm
			Resource	The Gospel Centered Life	http://www.campusministrytoolbox.org/toolbox/the-gospel-centered-life/
KNOWLEDGE	Basic Follow Up	There are core truths every new believer should needs to be grounded in regarding God, their new identity,  Christian practice and holiness. Does the student need to develop in knowing and internalizing certain foundational truths?	Word	Study Prayer in Mt 6:5-15	
			Word	Study Fellowship Heb 10:24-25	
			Word	Study Evangelism Mt 4:19, Act 1:8, Mt 28:19-20	
			Word	Study Trust & Obedience in Proverbs 3:5-6, Matthew 28:20	
			Word	Study God's Global Plan and Purpose in Gen 12:1-2,  Hab 2:14	
			Word	Study knowing God's Word in 2 Tim 3:16, 1 Pet 2:1-3	
			Do	Have the student summarize a core teaching or truth in their own words	
			Do	Help them find and plug into a local fellowship.	
			Do	Ask them to use sross references to find 2 other places the bible speaks to this truth during the week.	
			Prayer	Ask them to lead in prayer.	
			Prayer	Ask them to pray for a lost person.	
			Prayer	Ask them to open in prayer that God would teach us through His Word. 	
			Prayer	Pray for student to grow in trust and obedience as they follow Jesus	
			Challenge	To obey all they know.	
			Memorize	Heb 10:24-25	
			Memorize	Mt 28:19-20	
			Resource	Transferable Concepts	http://www.campusministrytoolbox.org/toolbox/transferable-concepts/
			Resource	Life Concepts	http://www.campusministrytoolbox.org/toolbox/life-concepts/
			Resource	Disciple	
			Resource	How to study the Bible	http://www.campusministrytoolbox.org/toolbox/weekly-bible-study-guide/
			Resource	If you share the gospel people will come to Jesus	http://www.campusministrytoolbox.org/toolbox/if-you-share-the-gospel-you-will-lead-people-to-christ-audio/
			Resource	The Wheel	http://www.campusministrytoolbox.org/toolbox/the-wheel/
			Resource	Top Discipleship Diagrams	http://www.campusministrytoolbox.org/journal/napkins-top-discipleship-diagrams/
KNOWLEDGE	God's will	God's will is a mystery for most. Is it a destiny, path, important decision, lifestyle, or character? It is found as we obey, especially in a few key areas. Does the student desire to know and live God's will for their life?	Word	Study Ps 40:8	
				Rom 12:2	
				1 Ths 4:3, 5;8	
				Jn 10: 10	
				Jer 9:23-24	
			Do 	Reflect on 3-5 things they are thankful for each day in journal	
				Pick a topic and study word to find God's will together	
				Look at and discuss 1010 life	http://prezi.com/dn9-uq9m0cwf/the-1010-life/
			Prayer	Pray to abide in the center of God's will	
				Pray God would reveal his will to them in an area that is a struggle (sexuality, loving enemies, cheating, gossip, etc)	
			Challenge	Discuss principles of sexual purity- design, safe guards, life giving nature of sex. Would they like you to hold them accountable in any way?	
				Discuss/work on weakest area of 1010 life	
			Memorize	John 10:10	
				Ps 40:8	
			Resource	Desiring God	http://www.campusministrytoolbox.org/toolbox/desiring-god/
KNOWLEDGE	Testimony	Their own story and how it relates to God's bigger story.	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource		
KNOWLEDGE	The Spirit filled life	The Spirit filled life (what it is and how to walk in the Spirit's power).	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource		
KNOWLEDGE	Christian disciplines	Christian disciplines (prayer, word, fasting, solitude, etc) their purpose and practice.	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource		
KNOWLEDGE	Biblical masculinity/femininity	Biblical masculinity/femininity- how do I think of myself, my identity, my significance?	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource		
KNOWLEDGE	Biblical leadership	Biblical leadership- what it is, why is different, what it looks like.	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource		
KNOWLEDGE	God's global mission	God has a redemptive plan He has been unfolding since Gensis. What is it? How can each of us be a part? Does the student know the bibilical basis of God's mission, the needs of Church/Unreached aroudn the world, and basics of the World Christian Lifestyle?	Word	Study a redemptive plan for all peoples-Gen 12:1-2	
				Study Nations in OT- Ps 67	
				Study Israel's purpose- Is 49:6	
				Study when nations are reached- Mt 24:14	
				Study 5 Great Commisions: Mt 28:19-20, Mk 16:15, Lk 22:47, Jn 20:21, ACts 1:8	
				Study God's finale' Rev 5:9, 7:9-10	
			Do 	Go through The Window	http://www.campusministrytoolbox.org/journal/napkins-top-discipleship-diagrams/
				Have them share area to work on and spend time on that using resources	
				Teach them The Window	http://www.campusministrytoolbox.org/journal/napkins-top-discipleship-diagrams/
			Prayer	For unreached people group	http://www.campusministrytoolbox.org/toolbox/jp-mobile/
				Watch a video on UPG and pray	http://prayercast.com/nations.html
				Pray for internationals on campus	
			Challenge	Befriend an international	
				Find out which internationasl are on campus	
				Have them share The Window with someone	
			Memorize	Acts 1:8	
				Mt 24:14	
				3 facts on God's word, world, work	http://www.thetravelingteam.org/stats
			Resource	BBOM- Traveling Team	http://www.thetravelingteam.org/?q=node/24
				Global Thread	http://www.thetravelingteam.org/?q=node/28
				Xplore study	http://www.campusministrytoolbox.org/toolbox/xplore-2/
				Live LIfe on Purpose	http://www.campusministrytoolbox.org/toolbox/live-life-on-purpose/
				Let the Nations Be Glad	http://www.campusministrytoolbox.org/toolbox/let-the-nations-be-glad/
KNOWLEDGE	The Great Commission and their role	Our task- making disciples of all nations and how they can be a part of it- goer, sender, welcomer, mobilizer.	Word		
			Do 		
			Prayer		
			Challenge		
			Memorize		
			Resource	6 Ways to Reach your World	http://www.campusministrytoolbox.org/toolbox/six-ways-to-reach-gods-world/
				Habits that Change the World	http://www.campusministrytoolbox.org/journal/habits-that-change-the-world/
KNOWLEDGE	Must read books 	Great books by men and women who have challenged and encouraged thousands of young people to go deeper in commitment, invest in the eternal, share Jesus with others, and personally own the Great Commission.			
KNOWLEDGE	Mission, vision, values of their campus ministry	The mission, vision, values of the ministry they are involved with. (what are you about, why, and what makes you different?)			
KNOWLEDGE	Apologetics	Know basics of how to defend faith and answers to common arguements.			
KNOWLEDGE	Creation, fall, redemption	Creation, fall, redemption- the redemptive story.			
KNOWLEDGE	Whys and how's of a meaningful prayer life.	Whys and how's of a meaningful prayer life.			
					
EXPERIENCES	DIscipleship relationship	Christ called us to make disciples. There is no plan B. College is such a key time of life to have someone invest in you and to invest in others. Being in a discipleship relationship is central to coming to Christ, growing in Christ, and reporducing His life in others. Has you student expereinced this?	Word	Study principle of mulitiplying disciples in 2 Tim 2:2	
				Study principles of discipleship from Paul in 1Ths 2	
